word	coef	occ_gemini	occ_human
stone_str	-0.16648103087912905	5	0
next_pos	-0.16605418719474577	21	11
of	-0.1660498136861206	76	137
perimeter	-0.16583774752340383	38	30
32	-0.16571033023549459	12	14
blink	-0.16557070638863433	12	10
total_score	-0.16457180256952814	12	0
get_path	-0.16451715317167254	4	0
50	-0.16406213787858998	20	13
denominator	-0.1639380930076362	20	0
card_info	-0.1636840977241147	8	0
end_pos	-0.1620104943389212	17	3
numerator	-0.16190178425548143	18	0
item	-0.16142249642682252	48	90
button	-0.16098834351999744	10	29
lock_heights	-0.16090953843068317	5	0
representing	-0.16006198232703228	16	0
total_winnings	-0.15993459976592214	15	0
disk_list	-0.15902206157384807	4	0
symbol_col	-0.15816642367642333	5	0
symbol_row	-0.15816642367642333	5	0
num_str	-0.15806988649531648	10	0
can_make	-0.15698558934921616	5	0
pulses_sent	-0.15691898211986158	14	0
step	-0.15690670448906718	104	136
middle_index	-0.15642069817368112	9	0
matched	-0.15553917489476493	16	0
xmas	-0.15541083987663096	10	18
col_index	-0.15529694625038448	7	0
c2	-0.15477499396092345	38	58
target_code	-0.15420040987056927	7	0
key_heights	-0.15419274818947246	9	0
flip_flops	-0.15308086916278005	13	0
last_rock	-0.15255173945673853	5	0
bytes_to_simulate	-0.15234863232732188	4	0
count_xmas	-0.1513916885452879	10	0
new_positions	-0.1513466550422746	5	0
byte_positions	-0.15070358053689525	7	0
get	-0.15068298298973173	189	289
max_y	-0.14825491557265055	13	25
new_r	-0.14824499772414984	149	16
histories	-0.14799908305054596	16	0
extrapolate_next_value	-0.14779915769111798	10	0
card_value	-0.1472245574511871	14	0
trailheads	-0.14697849869191448	12	2
denom	-0.14693386927363142	26	0
vx1	-0.14693386927363142	7	0
part_numbers	-0.14670899640479182	6	0
current_c	-0.1465903199140519	16	3
current_r	-0.1465903199140519	14	0
keypad_layout	-0.14638412048245894	6	0
new_box_row	-0.14635881141021442	15	0
input_part	-0.14601842743025328	14	0
maze	-0.14590358834944148	12	7
next_robot_col	-0.14566194741198568	15	0
next_robot_row	-0.14566194741198568	15	0
start_r	-0.14552486941445314	71	3
supports	-0.14542468829023553	10	8
curr_coords	-0.1441724192536201	2	0
sorted_hands	-0.14381387661816794	13	0
a_parts	-0.143725331461339	9	0
b_parts	-0.143725331461339	9	0
prize_parts	-0.143725331461339	9	0
curr_c	-0.14332646415060452	16	0
curr_r	-0.14332646415060452	14	0
prize_x	-0.14316105033793644	12	0
prize_y	-0.14316105033793644	12	0
check	-0.1427236883667424	64	38
connected_ab	-0.14235072223149006	2	0
connected_ac	-0.14235072223149006	2	0
connected_bc	-0.14235072223149006	2	0
max_x	-0.14145584784403725	12	27
check_word	-0.1408940214190417	9	0
returns	-0.14070529911097807	3	0
move	-0.14041201402661385	149	204
decreasing	-0.13995461190197156	14	3
vel1	-0.13968786454504406	15	0
new_box_col	-0.13951386412061947	15	0
mul_pattern	-0.13855363961423794	2	3
fertilizer	-0.13794314765865592	11	0
humidity	-0.13794314765865592	11	0
light	-0.13794314765865592	11	0
soil	-0.13794314765865592	11	0
water	-0.13794314765865592	11	0
antennas	-0.13729875755678322	30	39
output_wire	-0.1372787777132968	12	4
200000000000000	-0.13684343696021958	6	3
400000000000000	-0.13684343696021958	6	3
start_c	-0.13680139589348994	100	3
end_col	-0.13652214191214818	9	0
total_price	-0.1364730795344932	12	0
intersection	-0.1360591604137344	15	5
digits	-0.13594316213324087	15	28
new_distance	-0.13546399994223499	4	0
pos1	-0.13505634235685135	14	0
game_subsets	-0.134882466725596	5	0
safe_to_disintegrate_count	-0.1343076413448335	3	0
file_id	-0.134128956584546	18	18
reg_a	-0.13342451280297835	5	0
num_blinks	-0.13318482470330326	4	0
is_horizontal_reflection	-0.13267673086888135	7	0
is_vertical_reflection	-0.13267673086888135	7	0
brick_id	-0.13216744275175774	16	6
loop	-0.1312809851783589	31	10
costs	-0.13114839911189363	9	3
file_len	-0.13067229810057177	20	12
current_design	-0.13041554547162618	4	0
backtrack	-0.13026846476924628	18	3
index	-0.13020276445117696	162	50
winning_numbers_str	-0.13013392896142517	8	0
your_numbers_str	-0.13013392896142517	8	0
no	-0.13004592599281228	322	386
val1_bool	-0.12942153929739317	6	0
val2_bool	-0.12942153929739317	6	0
wire1	-0.12934426672845634	10	0
wire2	-0.12934426672845634	10	0
wire3	-0.12934426672845634	10	0
best_cheats	-0.12839967279800088	6	0
left_sorted	-0.12772771059136862	9	0
right_sorted	-0.12772771059136862	9	0
disk_map_str	-0.12736240755558328	6	0
disconnected_edges	-0.12668420341683168	7	0
path_length	-0.12609359696374545	19	8
travel_distance	-0.1255424730049619	4	0
support_map	-0.12336555305842384	14	0
best_product	-0.12333356744376217	10	0
galaxies_in_cols	-0.12308603222456846	6	0
galaxies_in_rows	-0.12308603222456846	6	0
extend	-0.12289850097314786	6	12
total_accepted_sum	-0.12245001170395042	13	0
len	-0.12243366131151324	648	730
low_count	-0.1222884357305502	13	0
lava_volume	-0.1217002001027998	5	0
equations	-0.12120254399450946	18	3
computer3	-0.12116819210281798	6	0
new_direction	-0.12116318728125319	22	0
vy1	-0.12064758006839221	6	0
locations	-0.1204065385544145	15	18
op1	-0.12017072042701869	7	5
op2	-0.12017072042701869	7	5
brick_data	-0.12014368271135006	5	0
triplet	-0.12013022804999704	10	0
keypad_mapping	-0.11904135233534435	2	0
distance_traveled	-0.11872410268952402	4	0
max_cubes	-0.11866632241926615	6	0
total_gps	-0.11845008099469952	15	0
min_heat_loss	-0.1177100938089778	14	0
prize_line	-0.11628360473593748	8	0
total_calibration_value	-0.11627362113965084	2	0
get_heat	-0.11619555029645788	13	0
ignore	-0.11609417429736503	1	3
args	-0.11609077696294488	0	6
high	-0.11578546305252436	45	23
a_x	-0.11552830480816423	12	1
a_y	-0.11552830480816423	11	1
b_x	-0.11552830480816423	10	1
b_y	-0.11552830480816423	10	1
safe_reports_count	-0.11533569745915638	3	0
card_data	-0.11523101921272114	7	0
next_position	-0.11490114715661848	6	0
next_position2	-0.11490114715661848	3	0
extrapolated_value	-0.11390193118846303	18	0
rows_len	-0.11362865127339886	5	0
source_val	-0.11350826618361726	8	0
current_pattern	-0.11344097885661832	5	0
groups	-0.11295658378144038	46	35
middle_page	-0.11282980684384668	15	0
029a	-0.11204211088641008	0	0
179a	-0.11204211088641008	0	0
379a	-0.11204211088641008	0	0
456a	-0.11204211088641008	0	0
980a	-0.11204211088641008	0	0
fits	-0.1116832428841328	7	6
nonlocal	-0.11160339090922196	15	4
isalpha	-0.11145627758180997	10	0
reg_b	-0.11118709400248199	5	0
oo	-0.110362529562926	177	292
factor	-0.11020674375727625	23	8
final_secrets	-0.10985204950978435	6	0
extrap_list	-0.1096387238064637	4	0
high_count	-0.10950070064973477	12	0
get_module_type	-0.10901093840713381	8	0
group_index	-0.10862445281546172	6	0
a_line	-0.10833161168928973	10	0
b_line	-0.10833161168928973	8	0
keypad_to_coords	-0.1082623887342703	7	0
comb_costs	-0.10818090129369778	4	0
presses_a	-0.10818090129369778	4	0
presses_b	-0.10818090129369778	4	0
integers	-0.10808441153465902	12	0
evaluate	-0.10802300979943379	14	4
consume	-0.10771692730027677	2	0
length	-0.1075616589215359	68	38
total_possible_games	-0.10735808830159328	9	0
neighbor_cost	-0.10734655192022996	7	0
dest	-0.1073395930968701	100	20
calculate_distance	-0.10716362743902072	8	0
lists	-0.10709428335753028	15	0
pulse_to_send	-0.1070787593195673	8	0
temp_grid	-0.10699972733166742	5	0
21	-0.10657367165073708	33	25
game_data	-0.10640310851974304	6	0
cheats	-0.10558889423764185	25	19
speed	-0.10528913562813232	4	3
total_ways	-0.10489660344182118	3	0
heights	-0.10450904933915468	19	1
topo_map	-0.10443587065035372	15	0
remembered_pulses	-0.1044207898273923	8	0
input_string	-0.10375455522682259	6	0
schematics	-0.10324131174270035	23	0
warehouse	-0.10319471665991074	33	37
end	-0.10300715438803795	604	538
codes	-0.10276177181531232	10	13
find_solution	-0.10269292718282108	6	0
temperature	-0.10264084588897343	11	0
min_cost	-0.10249363420745544	6	3
current_distance	-0.10159799995667623	3	0
example_input	-0.10159799995667623	3	0
register	-0.1014137142686624	50	28
start_row	-0.1010857821458682	38	3
reports	-0.10049399948497405	14	3
distance_values	-0.10015866369568222	3	0
time_list	-0.10015866369568222	3	0
time_values	-0.10015866369568222	3	0
loop_nodes	-0.10008304717002778	12	0
binary_number	-0.10002539749512517	4	0
pair	-0.10002026805746769	14	25
midpoint	-0.09988861852747741	3	1
part_ratings	-0.09917566421672934	9	0
expr	-0.09886957821541767	33	0
new_z	-0.09873786857224331	9	0
valid_reflection	-0.09856615745490079	14	0
module_type	-0.0982293806179747	20	0
occurrences	-0.09803468218459925	7	0
17	-0.09800692563229772	24	21
vx2	-0.09795591284908763	5	0
your	-0.09790721566467518	42	0
find_combination	-0.09781165910371961	3	0
current_groups	-0.09780713254741621	4	0
c_mid	-0.09684174350659083	9	0
r_mid	-0.09684174350659083	9	0
extrapolated_values	-0.09635202490003758	12	0
safe_disintegrations	-0.09611494616908009	4	0
count_str	-0.09567369334229904	3	0
75	-0.09564229325897257	40	19
computer	-0.0954561252585974	50	8
ways	-0.09524785102103767	15	14
else	-0.09516810205688424	207	253
energized	-0.09508969968157575	19	8
cheats_count	-0.095063924051964	3	0
edge1	-0.09501315256262374	4	0
edge2	-0.09501315256262374	3	0
strength1	-0.0948894050833945	6	0
strength2	-0.0948894050833945	6	0
conn	-0.09457252024324264	134	33
find_connected_components	-0.09457252024324264	10	0
possible_disconnections	-0.0943935027075654	8	0
time_distance_pairs	-0.09412106777559019	3	0
1024	-0.09355229191560487	8	8
antinodes	-0.09341490564013118	18	14
patterns_dict	-0.09331524678310066	2	0
sub_design	-0.09331524678310066	2	0
curr_h	-0.09321854991539938	5	0
cols_count	-0.09308102852395062	6	0
rows_count	-0.09308102852395062	6	0
box_row	-0.09242865084134864	30	0
wire_name	-0.09167496869309939	9	0
operand	-0.09160628599026566	40	36
left_index	-0.09146853134343673	8	0
right_index	-0.09146853134343673	8	0
dest_start	-0.09093831565319414	10	0
h_index	-0.09075278308529466	3	0
v_index	-0.09075278308529466	3	0
actual	-0.0904397154522854	11	2
temp	-0.09038039060840469	76	3
typeerror	-0.09033932965316703	0	0
triplets	-0.09009767103749773	6	0
disk_repr	-0.09003148212384186	10	0
found_empty	-0.09003148212384186	3	0
solve_all_machines	-0.08998175003749947	4	0
support_graph	-0.0897434410948223	8	0
current_map	-0.08962703687110672	14	0
increasing	-0.08957051519129218	14	5
another	-0.08953842756322235	2	0
min_z	-0.08953842756322235	2	0
removed_brick	-0.08953842756322235	2	0
platform_input	-0.08911184973605929	8	0
calculate_load	-0.08901609762627664	10	0
